id,title,Release Year,runtime,Budget,CPI budget,Budget Type,revenue,genres
14557,Dead Man on Campus,1998,96,$14000000,$26601758,Mid,$15064946,Comedy
687,Dead Man Walking,1995,122,$11000000,$11565035,Low,$39363635,Drama
9442,Dead Men Don't Wear Plaid,1982,89,$9000000,$4329453,Low,$18196170,"Comedy, Mystery"
207,Dead Poets Society,1989,128,$16400000,$10021169,Low,$235860116,Drama
11443,Dead Presidents,1995,119,$10000000,$10513668,Low,$24147179,"Action, Crime"
9540,Dead Ringers,1988,115,$13000000,$9403203,Low,$8038508,"Thriller, Horror"
14001,Dead Silence,2007,89,$20000000,$20679031,Mid,$22217407,Horror
462115,Dead Trigger,2017,92,$10000000,$13846821,Low,$151493,"Action, Horror"
978071,Dead Vision,2021,60,$1500,$942,Low,$1000,"Horror, Comedy"
97614,Deadfall,2012,95,$12000000,$17104173,Low,$1900000,"Crime, Drama, Thriller"
33927,Deadfall,1993,98,$10000000,$9992778,Low,$18369,Crime
59223,Deadlands 2: Trapped,2008,85,$5800,$4456,Low,$2950,"Horror, Science Fiction, Thriller"
53618,Deadlands: The Rising,2006,64,$10847,$9918,Low,$2025,"Action, Adventure, Horror, Thriller"
293660,Deadpool,2016,108,$58000000,$135601410,High,$783100000,"Action, Adventure, Comedy"
383498,Deadpool 2,2018,120,$110000000,$132829768,High,$785896609,"Action, Comedy, Adventure"
567690,Dear Evan Hansen,2021,137,$27500000,$17265726,Low,$19200000,Drama
22971,Dear John,2010,108,$25000000,$44961083,Mid,$114977104,"Drama, Romance, War"
2196,Death at a Funeral,2007,90,$9000000,$9305564,Low,$46789413,"Comedy, Drama"
34803,Death at a Funeral,2010,92,$21000000,$37767310,Mid,$49050886,Comedy
9374,Death Becomes Her,1992,104,$55000000,$53560100,Mid,$149022650,"Comedy, Fantasy, Horror"
13910,Death Defying Acts,2007,97,$20000000,$20679031,Mid,$8380329,"Drama, Romance"
21173,Death of a President,2006,97,$2000000,$1828628,Low,$167000,"Drama, Crime, Thriller, Mystery"
505026,Death on the Nile,2022,127,$90000000,$33170550,Mid,$137307235,"Mystery, Crime, Thriller"
